,index,SpikePerNeuron,Layer
0,0,0.7162448763847351,Conv0
1,1,0.7512723207473755,Conv0
2,2,0.7336515188217163,Conv0
3,3,0.7722448110580444,Conv0
4,4,0.7787679433822632,Conv0
5,5,0.762054979801178,Conv0
6,6,0.7589155435562134,Conv0
7,7,0.7731162309646606,Conv0
8,8,0.7352206110954285,Conv0
9,9,0.7527568936347961,Conv0
10,10,0.7427598237991333,Conv0
11,11,0.7568762302398682,Conv0
12,12,0.7470711469650269,Conv0
13,13,0.7579363584518433,Conv0
14,14,0.7594565153121948,Conv0
15,15,0.7427068948745728,Conv0
16,16,0.7592619061470032,Conv0
17,17,0.7418559789657593,Conv0
18,18,0.7180692553520203,Conv0
19,19,0.7200890779495239,Conv0
20,20,0.623802661895752,Conv1
21,21,0.6537486910820007,Conv1
22,22,0.6135690808296204,Conv1
23,23,0.6312829852104187,Conv1
24,24,0.5810531377792358,Conv1
25,25,0.5405980348587036,Conv1
26,26,0.5172401666641235,Conv1
27,27,0.5266437530517578,Conv1
28,28,0.4448927938938141,Conv1
29,29,0.3940596580505371,Conv1
30,30,0.41429954767227173,Conv1
31,31,0.365771621465683,Conv1
32,32,0.40257391333580017,Conv1
33,33,0.3340727686882019,Conv1
34,34,0.33639752864837646,Conv1
35,35,0.34964317083358765,Conv1
36,36,0.3265093266963959,Conv1
37,37,0.34178200364112854,Conv1
38,38,0.28884023427963257,Conv1
39,39,0.2979711592197418,Conv1
40,40,0.49089154601097107,Conv2
41,41,0.4760405123233795,Conv2
42,42,0.43941426277160645,Conv2
43,43,0.40627264976501465,Conv2
44,44,0.3744223713874817,Conv2
45,45,0.3395816683769226,Conv2
46,46,0.33127671480178833,Conv2
47,47,0.30274683237075806,Conv2
48,48,0.27275440096855164,Conv2
49,49,0.21922805905342102,Conv2
50,50,0.2099824845790863,Conv2
51,51,0.18622571229934692,Conv2
52,52,0.2117423266172409,Conv2
53,53,0.15163281559944153,Conv2
54,54,0.1392720639705658,Conv2
55,55,0.17324993014335632,Conv2
56,56,0.13612838089466095,Conv2
57,57,0.13545995950698853,Conv2
58,58,0.13793514668941498,Conv2
59,59,0.12231437861919403,Conv2
60,60,0.5001352429389954,Conv3
61,61,0.4186369776725769,Conv3
62,62,0.4145640432834625,Conv3
63,63,0.329918771982193,Conv3
64,64,0.33915406465530396,Conv3
65,65,0.27035850286483765,Conv3
66,66,0.21575114130973816,Conv3
67,67,0.20853814482688904,Conv3
68,68,0.18597440421581268,Conv3
69,69,0.1361977756023407,Conv3
70,70,0.1398349404335022,Conv3
71,71,0.12069188058376312,Conv3
72,72,0.13592395186424255,Conv3
73,73,0.09616713225841522,Conv3
74,74,0.10166098177433014,Conv3
75,75,0.1128743514418602,Conv3
76,76,0.08339070528745651,Conv3
77,77,0.10087443888187408,Conv3
78,78,0.08212267607450485,Conv3
79,79,0.07797092944383621,Conv3
80,80,0.14710693061351776,Fc0
81,81,0.12910155951976776,Fc0
82,82,0.11030273139476776,Fc0
83,83,0.1251220703125,Fc0
84,84,0.09880371391773224,Fc0
85,85,0.08933105319738388,Fc0
86,86,0.08583984524011612,Fc0
87,87,0.10499267280101776,Fc0
88,88,0.06793212890625,Fc0
89,89,0.08677978813648224,Fc0
90,90,0.09312744438648224,Fc0
91,91,0.09989013522863388,Fc0
92,92,0.10505370795726776,Fc0
93,93,0.094970703125,Fc0
94,94,0.09605713188648224,Fc0
95,95,0.08294677734375,Fc0
96,96,0.11077880859375,Fc0
97,97,0.09604492038488388,Fc0
98,98,0.0767822265625,Fc0
99,99,0.07203368842601776,Fc0
100,100,0.3229003846645355,Fc1
101,101,0.324462890625,Fc1
102,102,0.3248535096645355,Fc1
103,103,0.32231444120407104,Fc1
104,104,0.317138671875,Fc1
105,105,0.3084472715854645,Fc1
106,106,0.32958984375,Fc1
107,107,0.2998046875,Fc1
108,108,0.27656251192092896,Fc1
109,109,0.30219727754592896,Fc1
110,110,0.3243164122104645,Fc1
111,111,0.35649412870407104,Fc1
112,112,0.36225587129592896,Fc1
113,113,0.3953613340854645,Fc1
114,114,0.36176759004592896,Fc1
115,115,0.31669920682907104,Fc1
116,116,0.2926269471645355,Fc1
117,117,0.2928710877895355,Fc1
118,118,0.3257812559604645,Fc1
119,119,0.398681640625,Fc1
